Tactic,Total rule,Executable Sucess,Bypass target,Bypass all,Valid Bypass all
Collection,24,21 (87.50%),17 (70.83%),12 (50%),10 (41.67%)
Reconnaissance,4,4 (100%),3 (75%),2 (50%),2 (50%)
Resource Development,6,4 (66.67%),4 (66.67%),4 (66.67%),3 (50%)
Initial Access,9,7 (77.78%),6 (66.67%),4 (44.44%),2 (22.22%)
Execution,223,205 (91.93%),194 (87%),157 (70.40%),134 (60.09%)
Persistence,66,62 (93.94%),54 (81.82%),39 (59.09%),33 (50%)
Privilege Escalation,49,43 (87.76%),38 (77.55%),27 (55.10%),20 (40.82%)
Defense Evasion,368,327 (88.86%),312 (84.78%),261 (70.92%),228 (61.96%)
Discovery,79,68 (86.08%),66 (83.54%),55 (69.62%),52 (65.82%)
Lateral Movement,27,23 (85.19%),22 (81.48%),13 (48.15%),11 (40.74%)
Command and Control,66,55 (83.33%),49 (74.24%),36 (54.55%),29 (43.94%)
Credential Access,89,75 (84.27%),71 (79.78%),60 (67.42%),54 (60.67%)
Exfiltration,13,11 (84.62%),10 (76.92%),8 (61.54%),6 (46.15%)
Impact,16,15 (93.75%),14 (87.50%),12 (75%),11 (68.75%)
