scope,tactic,commandline_total,commandline_executable_success,commandline_bypass_target_rule,commandline_bypass_all_rule
overall,ALL,6869,3637,2968,1455
tactic,Collection,193,82,39,18
tactic,Reconnaissance,16,4,2,2
tactic,Resource Development,18,8,8,7
tactic,Initial Access,73,34,33,4
tactic,Execution,3131,1631,1496,614
tactic,Persistence,654,410,345,130
tactic,Privilege Escalation,408,220,154,53
tactic,Defense Evasion,2756,1599,1306,653
tactic,Discovery,988,539,400,225
tactic,Lateral Movement,191,102,76,55
tactic,Command and Control,564,254,231,66
tactic,Credential Access,713,398,313,173
tactic,Exfiltration,130,91,59,36
tactic,Impact,93,36,27,27
