Phạm vi / Tactic,Tổng command-line,Thực thi thành công,Tỷ lệ thực thi,Bypass target rule,Bypass target / total,Bypass target / success,Bypass all rule,Bypass all / total,Bypass all / success
ALL,6460,4216,0.6526315789473685,3223,0.49891640866873066,0.7644686907020873,1634,0.2529411764705882,0.38757115749525617
Collection,230,137,0.5956521739130435,56,0.24347826086956523,0.40875912408759124,18,0.0782608695652174,0.13138686131386862
Reconnaissance,19,11,0.5789473684210527,8,0.42105263157894735,0.7272727272727273,5,0.2631578947368421,0.45454545454545453
Resource Development,27,18,0.6666666666666666,15,0.5555555555555556,0.8333333333333334,7,0.25925925925925924,0.3888888888888889
Initial Access,197,162,0.8223350253807107,159,0.8071065989847716,0.9814814814814815,24,0.1218274111675127,0.14814814814814814
Execution,4765,3024,0.6346274921301154,2595,0.5445960125918153,0.8581349206349206,964,0.20230849947534102,0.3187830687830688
Persistence,742,586,0.7897574123989218,508,0.6846361185983828,0.8668941979522184,178,0.2398921832884097,0.3037542662116041
Privilege Escalation,498,308,0.6184738955823293,226,0.4538152610441767,0.7337662337662337,94,0.18875502008032127,0.3051948051948052
Defense Evasion,4115,2773,0.673876063183475,2235,0.543134872417983,0.8059862964298593,1081,0.2626974483596598,0.3898305084745763
Discovery,1996,1255,0.6287575150300602,871,0.436372745490982,0.6940239043824701,409,0.20490981963927857,0.3258964143426295
Lateral Movement,300,192,0.64,121,0.4033333333333333,0.6302083333333334,80,0.26666666666666666,0.4166666666666667
Command and Control,848,483,0.5695754716981132,424,0.5,0.8778467908902692,113,0.1332547169811321,0.23395445134575568
Credential Access,949,606,0.6385669125395153,484,0.5100105374077977,0.7986798679867987,274,0.28872497365648053,0.4521452145214521
Exfiltration,185,134,0.7243243243243244,68,0.3675675675675676,0.5074626865671642,39,0.21081081081081082,0.291044776119403
Impact,107,52,0.48598130841121495,32,0.29906542056074764,0.6153846153846154,30,0.2803738317757009,0.5769230769230769
