Phạm vi / Tactic,Tổng rule,Rule có command-line,Tỷ lệ,Rule có command-line thực thi thành công,Tỷ lệ thực thi thành công,Rule có bypass target,Tỷ lệ bypass target,Rule có bypass all,Tỷ lệ bypass all
ALL,781,745,0.9539052496798975,605,0.7746478873239436,571,0.7311139564660691,425,0.5441741357234315
Collection,24,24,1.0,17,0.7083333333333334,15,0.625,10,0.4166666666666667
Reconnaissance,4,3,0.75,2,0.5,2,0.5,1,0.25
Resource Development,6,6,1.0,4,0.6666666666666666,4,0.6666666666666666,2,0.3333333333333333
Initial Access,9,8,0.8888888888888888,5,0.5555555555555556,5,0.5555555555555556,3,0.3333333333333333
Execution,223,213,0.9551569506726457,181,0.8116591928251121,173,0.7757847533632287,119,0.5336322869955157
Persistence,65,62,0.9538461538461539,51,0.7846153846153846,47,0.7230769230769231,32,0.49230769230769234
Privilege Escalation,49,47,0.9591836734693877,36,0.7346938775510204,32,0.6530612244897959,21,0.42857142857142855
Defense Evasion,368,348,0.9456521739130435,292,0.7934782608695652,278,0.7554347826086957,222,0.6032608695652174
Discovery,79,76,0.9620253164556962,63,0.7974683544303798,61,0.7721518987341772,48,0.6075949367088608
Lateral Movement,27,26,0.9629629629629629,21,0.7777777777777778,19,0.7037037037037037,10,0.37037037037037035
Command and Control,66,65,0.9848484848484849,52,0.7878787878787878,46,0.696969696969697,29,0.4393939393939394
Credential Access,89,89,1.0,68,0.7640449438202247,64,0.7191011235955056,52,0.5842696629213483
Exfiltration,13,12,0.9230769230769231,10,0.7692307692307693,9,0.6923076923076923,5,0.38461538461538464
Impact,16,15,0.9375,12,0.75,12,0.75,11,0.6875
